Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.2	75.6	75.7	23.0	3	72
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 3e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Medium-Hard-Medium	23	45		5772.27	laag
Medium-Hard-Medium	23	46		5771.83	laag
Medium-Hard-Medium	23	47		5771.58	laag
Medium-Hard-Medium	23	48		5771.53	laag
Medium-Hard-Medium	23	49		5771.68	laag
Medium-Hard-Medium	23	50		5772.02	laag
Medium-Hard-Medium	23	51		5772.57	laag
Medium-Hard-Medium	23	52		5773.32	laag
Medium-Hard-Medium	23	53		5774.27	laag
Medium-Hard-Medium	24	42		5775.0	laag
Medium-Hard-Medium	24	43		5773.86	laag
Medium-Hard-Medium	24	44		5772.94	laag
Medium-Hard-Medium	24	45		5772.21	laag
Medium-Hard-Medium	24	46		5771.68	laag
Medium-Hard-Medium	24	47		5771.34	laag
Medium-Hard-Medium	24	48		5771.2	laag
Medium-Hard-Medium	24	49		5771.25	laag
Medium-Hard-Medium	24	50		5771.51	laag
Medium-Hard-Medium	24	51		5771.96	laag
Medium-Hard-Medium	24	52		5772.62	laag
Medium-Hard-Medium	24	53		5773.48	laag
Medium-Hard-Medium	24	54		5774.54	laag
Medium-Hard-Medium	25	42		5774.97	laag
Medium-Hard-Medium	25	43		5773.74	laag
Medium-Hard-Medium	25	44		5772.72	laag
Medium-Hard-Medium	25	45		5771.9	laag
Medium-Hard-Medium	25	46		5771.27	laag
Medium-Hard-Medium	25	47		5770.84	laag
Medium-Hard-Medium	25	48		5770.61	laag
Medium-Hard-Medium	25	49		5770.57	laag
Medium-Hard-Medium	25	50		5770.73	laag
Medium-Hard-Medium	25	51		5771.09	laag
Medium-Hard-Medium	25	52		5771.66	laag
Medium-Hard-Medium	25	53		5772.43	laag
Medium-Hard-Medium	25	54		5773.4	laag
Medium-Hard-Medium	25	55		5774.58	laag
Medium-Hard-Medium	26	43		5773.89	gemiddeld
Medium-Hard-Medium	26	44		5772.78	gemiddeld
Medium-Hard-Medium	26	45		5771.86	gemiddeld
Medium-Hard-Medium	26	46		5771.14	gemiddeld
Medium-Hard-Medium	26	47		5770.61	gemiddeld
Medium-Hard-Medium	26	48		5770.28	gemiddeld
Medium-Hard-Medium	26	49		5770.15	gemiddeld
Medium-Hard-Medium	26	50		5770.22	gemiddeld
Medium-Hard-Medium	26	51		5770.49	gemiddeld
Medium-Hard-Medium	26	52		5770.96	gemiddeld
Medium-Hard-Medium	26	53		5771.63	gemiddeld
Medium-Hard-Medium	26	54		5772.52	gemiddeld
Medium-Hard-Medium	26	55		5773.61	gemiddeld
Medium-Hard-Medium	26	56		5774.91	gemiddeld
Medium-Hard-Medium	27	43		5774.31	gemiddeld
Medium-Hard-Medium	27	44		5773.11	gemiddeld
Medium-Hard-Medium	27	45		5772.09	gemiddeld
Medium-Hard-Medium	27	46		5771.27	gemiddeld
Medium-Hard-Medium	27	47		5770.65	gemiddeld
Medium-Hard-Medium	27	48		5770.22	gemiddeld
Medium-Hard-Medium	27	49		5770.0	gemiddeld
Medium-Hard-Medium	27	50		5769.97	gemiddeld
Medium-Hard-Medium	27	51		5770.15	gemiddeld
Medium-Hard-Medium	27	52		5770.52	gemiddeld
Medium-Hard-Medium	27	53		5771.11	gemiddeld
Medium-Hard-Medium	27	54		5771.9	gemiddeld
Medium-Hard-Medium	27	55		5772.9	gemiddeld
Medium-Hard-Medium	27	56		5774.11	gemiddeld
Medium-Hard-Medium	28	44		5773.71	gemiddeld
Medium-Hard-Medium	28	45		5772.6	gemiddeld
Medium-Hard-Medium	28	46		5771.68	gemiddeld
Medium-Hard-Medium	28	47		5770.96	gemiddeld
Medium-Hard-Medium	28	48		5770.44	gemiddeld
Medium-Hard-Medium	28	49		5770.11	gemiddeld
Medium-Hard-Medium	28	50		5769.99	gemiddeld
Medium-Hard-Medium	28	51		5770.07	gemiddeld
Medium-Hard-Medium	28	52		5770.36	gemiddeld
Medium-Hard-Medium	28	53		5770.85	gemiddeld
Medium-Hard-Medium	28	54		5771.54	gemiddeld
Medium-Hard-Medium	28	55		5772.45	gemiddeld
Medium-Hard-Medium	28	56		5773.57	gemiddeld
Medium-Hard-Medium	28	57		5774.89	gemiddeld
Medium-Hard-Medium	29	44		5774.59	hoog
Medium-Hard-Medium	29	45		5773.38	hoog
Medium-Hard-Medium	29	46		5772.36	hoog
Medium-Hard-Medium	29	47		5771.54	hoog
Medium-Hard-Medium	29	48		5770.92	hoog
Medium-Hard-Medium	29	49		5770.5	hoog
Medium-Hard-Medium	29	50		5770.29	hoog
Medium-Hard-Medium	29	51		5770.27	hoog
Medium-Hard-Medium	29	52		5770.46	hoog
Medium-Hard-Medium	29	53		5770.85	hoog
Medium-Hard-Medium	29	54		5771.46	hoog
Medium-Hard-Medium	29	55		5772.27	hoog
Medium-Hard-Medium	29	56		5773.29	hoog
Medium-Hard-Medium	29	57		5774.52	hoog
Medium-Hard-Medium	30	45		5774.44	hoog
Medium-Hard-Medium	30	46		5773.32	hoog
Medium-Hard-Medium	30	47		5772.4	hoog
Medium-Hard-Medium	30	48		5771.69	hoog
Medium-Hard-Medium	30	49		5771.17	hoog
Medium-Hard-Medium	30	50		5770.85	hoog
Medium-Hard-Medium	30	51		5770.74	hoog
Medium-Hard-Medium	30	52		5770.83	hoog
Medium-Hard-Medium	30	53		5771.13	hoog
Medium-Hard-Medium	30	54		5771.64	hoog
Medium-Hard-Medium	30	55		5772.35	hoog
Medium-Hard-Medium	30	56		5773.28	hoog
Medium-Hard-Medium	30	57		5774.42	hoog
Medium-Hard-Medium	31	46		5774.56	zeer hoog
Medium-Hard-Medium	31	47		5773.54	zeer hoog
Medium-Hard-Medium	31	48		5772.72	zeer hoog
Medium-Hard-Medium	31	49		5772.1	zeer hoog
Medium-Hard-Medium	31	50		5771.69	zeer hoog
Medium-Hard-Medium	31	51		5771.48	zeer hoog
Medium-Hard-Medium	31	52		5771.47	zeer hoog
Medium-Hard-Medium	31	53		5771.68	zeer hoog
Medium-Hard-Medium	31	54		5772.09	zeer hoog
Medium-Hard-Medium	31	55		5772.71	zeer hoog
Medium-Hard-Medium	31	56		5773.54	zeer hoog
Medium-Hard-Medium	31	57		5774.58	zeer hoog
Medium-Medium-Hard	18	45		5774.84	laag
Medium-Medium-Hard	18	46		5774.48	gemiddeld
Medium-Medium-Hard	18	47		5774.42	gemiddeld
Medium-Medium-Hard	18	48		5774.64	gemiddeld
Medium-Medium-Hard	19	44		5774.77	laag
Medium-Medium-Hard	19	45		5774.31	laag
Medium-Medium-Hard	19	46		5773.75	laag
Medium-Medium-Hard	19	47		5773.5	gemiddeld
Medium-Medium-Hard	19	48		5773.53	gemiddeld
Medium-Medium-Hard	19	49		5773.87	gemiddeld
Medium-Medium-Hard	19	50		5774.51	gemiddeld
Medium-Medium-Hard	20	43		5774.97	laag
Medium-Medium-Hard	20	44		5774.22	laag
Medium-Medium-Hard	20	45		5773.66	laag
Medium-Medium-Hard	20	46		5773.3	laag
Medium-Medium-Hard	20	47		5772.85	laag
